country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Georgia,GE,GEO,268,Rural,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,Rural,12,Dry latrines - Other,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,Rural,13,Composting toilets,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,Rural,14,Other improved,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,Rural,15,"No facility, bush, field",0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,Rural,16,Other unimproved,0.001,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,Rural,17,DK/missing information,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,1,Flush and pour flush - to piped sewer system,0.541,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,2,Flush and pour flush - to septic tank,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,3,Flush and pour flush - to pit,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,5,Flush and pour flush - to elsewhere,0.051,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,8,Dry latrines - Traditional latrine,0.408,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,12,Dry latrines - Other,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,13,Composting toilets,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,14,Other improved,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,15,"No facility, bush, field",0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,16,Other unimproved,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,National,17,DK/missing information,0.0,Integrated Household Survey - IHS15
Georgia,GE,GEO,268,Urban,1,Flush and pour flush - to piped sewer system,0.905,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,2,Flush and pour flush - to septic tank,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,3,Flush and pour flush - to pit,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,5,Flush and pour flush - to elsewhere,0.02,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,8,Dry latrines - Traditional latrine,0.075,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,12,Dry latrines - Other,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,13,Composting toilets,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,14,Other improved,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,15,"No facility, bush, field",0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,16,Other unimproved,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,17,DK/missing information,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,1,Flush and pour flush - to piped sewer system,0.054,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,2,Flush and pour flush - to septic tank,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,3,Flush and pour flush - to pit,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,5,Flush and pour flush - to elsewhere,0.102,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,8,Dry latrines - Traditional latrine,0.843,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,12,Dry latrines - Other,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,13,Composting toilets,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,14,Other improved,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,15,"No facility, bush, field",0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,16,Other unimproved,0.001,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Rural,17,DK/missing information,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,1,Flush and pour flush - to piped sewer system,0.555,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,2,Flush and pour flush - to septic tank,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,3,Flush and pour flush - to pit,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,5,Flush and pour flush - to elsewhere,0.054,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,8,Dry latrines - Traditional latrine,0.392,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,11,Dry latrines - Bucket latrine,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,12,Dry latrines - Other,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,13,Composting toilets,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,14,Other improved,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,15,"No facility, bush, field",0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,16,Other unimproved,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,National,17,DK/missing information,0.0,Integrated Household Survey - IHS16
Georgia,GE,GEO,268,Urban,1,Flush and pour flush - to piped sewer system,0.872,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,2,Flush and pour flush - to septic tank,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,3,Flush and pour flush - to pit,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,5,Flush and pour flush - to elsewhere,0.021,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,8,Dry latrines - Traditional latrine,0.107,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,11,Dry latrines - Bucket latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,12,Dry latrines - Other,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,13,Composting toilets,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,14,Other improved,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,15,"No facility, bush, field",0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,16,Other unimproved,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Urban,17,DK/missing information,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,1,Flush and pour flush - to piped sewer system,0.071,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,2,Flush and pour flush - to septic tank,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,3,Flush and pour flush - to pit,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,5,Flush and pour flush - to elsewhere,0.139,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,8,Dry latrines - Traditional latrine,0.789,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,11,Dry latrines - Bucket latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,12,Dry latrines - Other,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,13,Composting toilets,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,14,Other improved,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,15,"No facility, bush, field",0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,16,Other unimproved,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,Rural,17,DK/missing information,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,1,Flush and pour flush - to piped sewer system,0.542,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,2,Flush and pour flush - to septic tank,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,3,Flush and pour flush - to pit,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,5,Flush and pour flush - to elsewhere,0.069,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,8,Dry latrines - Traditional latrine,0.388,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,11,Dry latrines - Bucket latrine,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,12,Dry latrines - Other,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,13,Composting toilets,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,14,Other improved,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,15,"No facility, bush, field",0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,16,Other unimproved,0.0,Household Income Expenditure Survey - IHS17
Georgia,GE,GEO,268,National,17,DK/missing information,0.0,Household Income Expenditure Survey - IHS17
