country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Sri Lanka,LK,LKA,144,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.002,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,11,Dry latrines - Bucket latrine,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.015,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.009,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.001,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,8,Dry latrines - Traditional latrine,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,11,Dry latrines - Bucket latrine,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,12,Dry latrines - Other,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,13,Composting toilets,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,14,Other improved,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,15,"No facility, bush, field",0.012,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,16,Other unimproved,0.002,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Rural,17,DK/missing information,0.0,Demografic Health Survey - DHS16
Sri Lanka,LK,LKA,144,Urban,1,Flush and pour flush - to piped sewer system,0.097,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,2,Flush and pour flush - to septic tank,0.106,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,3,Flush and pour flush - to pit,0.583,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,5,Flush and pour flush - to elsewhere,0.009,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.001,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.01,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.001,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,13,Composting toilets,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,14,Other improved,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,15,"No facility, bush, field",0.003,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,16,Other unimproved,0.185,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Urban,17,DK/missing information,0.003,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,1,Flush and pour flush - to piped sewer system,0.005,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,2,Flush and pour flush - to septic tank,0.045,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,3,Flush and pour flush - to pit,0.772,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,5,Flush and pour flush - to elsewhere,0.001,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.029,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.018,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.007,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,11,Dry latrines - Bucket latrine,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,12,Dry latrines - Other,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,13,Composting toilets,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,14,Other improved,0.0,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,15,"No facility, bush, field",0.021,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,16,Other unimproved,0.102,Demographic and Health Survey - DHS07
Sri Lanka,LK,LKA,144,Rural,17,DK/missing information,0.001,Demographic and Health Survey - DHS07
