country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Sierra Leone,SL,SLE,694,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Rural,11,Dry latrines - Bucket latrine,0.002,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Rural,15,"No facility, bush, field",0.21,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Rural,16,Other unimproved,0.1,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Sierra Leone,SL,SLE,694,Urban,1,Flush and pour flush - to piped sewer system,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,2,Flush and pour flush - to septic tank,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,3,Flush and pour flush - to pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,5,Flush and pour flush - to elsewhere,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.004,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,8,Dry latrines - Traditional latrine,0.859,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,11,Dry latrines - Bucket latrine,0.007,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,8,Dry latrines - Traditional latrine,0.364,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,11,Dry latrines - Bucket latrine,0.005,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,8,Dry latrines - Traditional latrine,0.495,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,11,Dry latrines - Bucket latrine,0.002,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,12,Dry latrines - Other,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,13,Composting toilets,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,14,Other improved,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,15,"No facility, bush, field",0.022,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,16,Other unimproved,0.015,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,17,DK/missing information,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,1,Flush and pour flush - to piped sewer system,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,2,Flush and pour flush - to septic tank,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,3,Flush and pour flush - to pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,5,Flush and pour flush - to elsewhere,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.012,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,8,Dry latrines - Traditional latrine,0.559,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,11,Dry latrines - Bucket latrine,0.008,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,8,Dry latrines - Traditional latrine,0.158,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,11,Dry latrines - Bucket latrine,0.002,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,8,Dry latrines - Traditional latrine,0.401,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,11,Dry latrines - Bucket latrine,0.006,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,12,Dry latrines - Other,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,13,Composting toilets,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,14,Other improved,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,15,"No facility, bush, field",0.378,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,16,Other unimproved,0.022,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Rural,17,DK/missing information,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,1,Flush and pour flush - to piped sewer system,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,2,Flush and pour flush - to septic tank,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,3,Flush and pour flush - to pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,5,Flush and pour flush - to elsewhere,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,8,Dry latrines - Traditional latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,11,Dry latrines - Bucket latrine,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,12,Dry latrines - Other,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,13,Composting toilets,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,14,Other improved,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,15,"No facility, bush, field",0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,16,Other unimproved,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,National,17,DK/missing information,0.0,INTEGRATED HOUSEHOLD SURVEY - IHS03
Sierra Leone,SL,SLE,694,Urban,1,Flush and pour flush - to piped sewer system,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,2,Flush and pour flush - to septic tank,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,3,Flush and pour flush - to pit,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,5,Flush and pour flush - to elsewhere,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.015,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,8,Dry latrines - Traditional latrine,0.751,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,11,Dry latrines - Bucket latrine,0.002,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,12,Dry latrines - Other,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,13,Composting toilets,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,14,Other improved,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,15,"No facility, bush, field",0.106,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,16,Other unimproved,0.01,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,17,DK/missing information,0.055,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,1,Flush and pour flush - to piped sewer system,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,2,Flush and pour flush - to septic tank,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,3,Flush and pour flush - to pit,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,5,Flush and pour flush - to elsewhere,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.015,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,8,Dry latrines - Traditional latrine,0.502,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,11,Dry latrines - Bucket latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,12,Dry latrines - Other,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,13,Composting toilets,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,14,Other improved,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,15,"No facility, bush, field",0.444,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,16,Other unimproved,0.008,Census - CEN04
Sierra Leone,SL,SLE,694,Rural,17,DK/missing information,0.027,Census - CEN04
Sierra Leone,SL,SLE,694,National,1,Flush and pour flush - to piped sewer system,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,2,Flush and pour flush - to septic tank,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,3,Flush and pour flush - to pit,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,5,Flush and pour flush - to elsewhere,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,8,Dry latrines - Traditional latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,11,Dry latrines - Bucket latrine,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,12,Dry latrines - Other,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,13,Composting toilets,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,14,Other improved,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,15,"No facility, bush, field",0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,16,Other unimproved,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,National,17,DK/missing information,0.0,Census - CEN04
Sierra Leone,SL,SLE,694,Urban,1,Flush and pour flush - to piped sewer system,0.017,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,2,Flush and pour flush - to septic tank,0.063,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,3,Flush and pour flush - to pit,0.022,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,5,Flush and pour flush - to elsewhere,0.004,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.003,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.538,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.258,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.024,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,15,"No facility, bush, field",0.06,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,16,Other unimproved,0.012,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,1,Flush and pour flush - to piped sewer system,0.001,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,2,Flush and pour flush - to septic tank,0.001,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,3,Flush and pour flush - to pit,0.002,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,5,Flush and pour flush - to elsewhere,0.001,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.009,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.156,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.337,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.039,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,13,Composting toilets,0.002,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,15,"No facility, bush, field",0.422,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,16,Other unimproved,0.03,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS05
Sierra Leone,SL,SLE,694,Urban,1,Flush and pour flush - to piped sewer system,0.002,Demographic and Health Survey - DHS08
Sierra Leone,SL,SLE,694,Urban,2,Flush and pour flush - to septic tank,0.096,Demographic and Health Survey - DHS08
Sierra Leone,SL,SLE,694,Urban,3,Flush and pour flush - to pit,0.026,Demographic and Health Survey - DHS08
Sierra Leone,SL,SLE,694,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Demographic and Health Survey - DHS08
Sierra Leone,SL,SLE,694,Urban,5,Flush and pour flush - to elsewhere,0.008,Demographic and Health Survey - DHS08
Sierra Leone,SL,SLE,694,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.245,Demographic and Health Survey - DHS08
Sierra Leone,SL,SLE,694,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.382,Demographic and Health Survey - DHS08
Sierra Leone,SL,SLE,694,Urban,8,Dry latrines - Traditional latrine,0.0,Demographic and Health Survey - DHS08
