country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Thailand,TH,THA,764,Urban,14,Other improved,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Urban,15,"No facility, bush, field",0.001,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Urban,16,Other unimproved,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Urban,17,DK/missing information,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,1,Flush and pour flush - to piped sewer system,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,2,Flush and pour flush - to septic tank,0.763,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,3,Flush and pour flush - to pit,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.232,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,5,Flush and pour flush - to elsewhere,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,8,Dry latrines - Traditional latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,11,Dry latrines - Bucket latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,12,Dry latrines - Other,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,13,Composting toilets,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,14,Other improved,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,15,"No facility, bush, field",0.004,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,16,Other unimproved,0.001,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Rural,17,DK/missing information,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,1,Flush and pour flush - to piped sewer system,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,2,Flush and pour flush - to septic tank,0.672,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,3,Flush and pour flush - to pit,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.324,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,5,Flush and pour flush - to elsewhere,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,8,Dry latrines - Traditional latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,11,Dry latrines - Bucket latrine,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,12,Dry latrines - Other,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,13,Composting toilets,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,14,Other improved,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,15,"No facility, bush, field",0.003,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,16,Other unimproved,0.001,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,National,17,DK/missing information,0.0,Household Socio-Economic Survey - SES13
Thailand,TH,THA,764,Urban,1,Flush and pour flush - to piped sewer system,0.108,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,2,Flush and pour flush - to septic tank,0.866,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,3,Flush and pour flush - to pit,0.021,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,5,Flush and pour flush - to elsewhere,0.003,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.001,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,15,"No facility, bush, field",0.001,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,16,Other unimproved,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,1,Flush and pour flush - to piped sewer system,0.052,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,2,Flush and pour flush - to septic tank,0.896,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,3,Flush and pour flush - to pit,0.046,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.001,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,15,"No facility, bush, field",0.004,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,16,Other unimproved,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,1,Flush and pour flush - to piped sewer system,0.078,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,2,Flush and pour flush - to septic tank,0.882,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,3,Flush and pour flush - to pit,0.035,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,5,Flush and pour flush - to elsewhere,0.002,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.001,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,14,Other improved,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,15,"No facility, bush, field",0.002,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
Thailand,TH,THA,764,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey 2015-16 - MICS16
