country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Sao Tome and Principe,ST,STP,678,Rural,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.051,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,8,Dry latrines - Traditional latrine,0.011,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,15,"No facility, bush, field",0.795,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,16,Other unimproved,0.001,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS00
Sao Tome and Principe,ST,STP,678,Urban,1,Flush and pour flush - to piped sewer system,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,2,Flush and pour flush - to septic tank,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,3,Flush and pour flush - to pit,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,5,Flush and pour flush - to elsewhere,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.097,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,8,Dry latrines - Traditional latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.043,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,11,Dry latrines - Bucket latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,12,Dry latrines - Other,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,13,Composting toilets,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,14,Other improved,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,15,"No facility, bush, field",0.628,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,16,Other unimproved,0.024,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,17,DK/missing information,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,1,Flush and pour flush - to piped sewer system,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,2,Flush and pour flush - to septic tank,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,3,Flush and pour flush - to pit,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,5,Flush and pour flush - to elsewhere,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.072,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,8,Dry latrines - Traditional latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.029,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,11,Dry latrines - Bucket latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,12,Dry latrines - Other,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,13,Composting toilets,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,14,Other improved,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,15,"No facility, bush, field",0.767,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,16,Other unimproved,0.028,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Rural,17,DK/missing information,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,1,Flush and pour flush - to piped sewer system,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,2,Flush and pour flush - to septic tank,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,3,Flush and pour flush - to pit,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,5,Flush and pour flush - to elsewhere,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,8,Dry latrines - Traditional latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,11,Dry latrines - Bucket latrine,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,12,Dry latrines - Other,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,13,Composting toilets,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,14,Other improved,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,15,"No facility, bush, field",0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,16,Other unimproved,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,National,17,DK/missing information,0.0,Inquérito sobre Condições de Vida das Familias - CVF00
Sao Tome and Principe,ST,STP,678,Urban,1,Flush and pour flush - to piped sewer system,0.071,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,2,Flush and pour flush - to septic tank,0.144,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,3,Flush and pour flush - to pit,0.014,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.007,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.018,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.08,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.078,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,15,"No facility, bush, field",0.532,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,16,Other unimproved,0.055,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,1,Flush and pour flush - to piped sewer system,0.062,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,2,Flush and pour flush - to septic tank,0.086,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,3,Flush and pour flush - to pit,0.005,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.014,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,5,Flush and pour flush - to elsewhere,0.002,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.007,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.055,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.051,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,15,"No facility, bush, field",0.678,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,16,Other unimproved,0.04,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Rural,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,1,Flush and pour flush - to piped sewer system,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,2,Flush and pour flush - to septic tank,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,3,Flush and pour flush - to pit,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,5,Flush and pour flush - to elsewhere,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,8,Dry latrines - Traditional latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,11,Dry latrines - Bucket latrine,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,12,Dry latrines - Other,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,13,Composting toilets,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,14,Other improved,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,15,"No facility, bush, field",0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,16,Other unimproved,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,National,17,DK/missing information,0.0,Multiple Indicator Cluster Survey - MICS06
Sao Tome and Principe,ST,STP,678,Urban,1,Flush and pour flush - to piped sewer system,0.057,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,2,Flush and pour flush - to septic tank,0.177,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,3,Flush and pour flush - to pit,0.171,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,5,Flush and pour flush - to elsewhere,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.066,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,8,Dry latrines - Traditional latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,11,Dry latrines - Bucket latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,12,Dry latrines - Other,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,13,Composting toilets,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,14,Other improved,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,15,"No facility, bush, field",0.52,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,16,Other unimproved,0.008,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,17,DK/missing information,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,1,Flush and pour flush - to piped sewer system,0.058,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,2,Flush and pour flush - to septic tank,0.044,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,3,Flush and pour flush - to pit,0.131,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,5,Flush and pour flush - to elsewhere,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.058,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,8,Dry latrines - Traditional latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,11,Dry latrines - Bucket latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,12,Dry latrines - Other,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,13,Composting toilets,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,14,Other improved,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,15,"No facility, bush, field",0.707,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,16,Other unimproved,0.002,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Rural,17,DK/missing information,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,1,Flush and pour flush - to piped sewer system,0.058,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,2,Flush and pour flush - to septic tank,0.11,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,3,Flush and pour flush - to pit,0.151,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,5,Flush and pour flush - to elsewhere,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,6,Dry latrines - Ventilated Improved Pit latrine,0.062,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,8,Dry latrines - Traditional latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,11,Dry latrines - Bucket latrine,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,12,Dry latrines - Other,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,13,Composting toilets,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,14,Other improved,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,15,"No facility, bush, field",0.614,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,16,Other unimproved,0.005,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,National,17,DK/missing information,0.0,Measure DHS - DHS09
Sao Tome and Principe,ST,STP,678,Urban,1,Flush and pour flush - to piped sewer system,0.089,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,2,Flush and pour flush - to septic tank,0.134,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,3,Flush and pour flush - to pit,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,5,Flush and pour flush - to elsewhere,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.223,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,8,Dry latrines - Traditional latrine,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.042,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,11,Dry latrines - Bucket latrine,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,12,Dry latrines - Other,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,13,Composting toilets,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,14,Other improved,0.0,"Inquerito de Orcamento Familiar, 2010 - IOF10"
Sao Tome and Principe,ST,STP,678,Urban,15,"No facility, bush, field",0.512,"Inquerito de Orcamento Familiar, 2010 - IOF10"
